[2024-11-07 13:06:32,071] 17 networksecurity.logging.logger - INFO - Initiate the data ingestion
[2024-11-07 13:06:33,680] 72 networksecurity.logging.logger - INFO - Performed train test split on the dataframe
[2024-11-07 13:06:33,680] 74 networksecurity.logging.logger - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-07 13:06:33,680] 82 networksecurity.logging.logger - INFO - Exporting train and test file path.
[2024-11-07 13:06:33,738] 91 networksecurity.logging.logger - INFO - Exported train and test file path.
[2024-11-07 13:06:33,738] 19 networksecurity.logging.logger - INFO - Data Initiation completed
[2024-11-07 13:06:33,766] 24 networksecurity.logging.logger - INFO - Initiate the data validation 
[2024-11-07 13:06:33,834] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-07 13:06:33,834] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-07 13:06:33,835] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-07 13:06:33,835] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-07 13:06:33,986] 26 networksecurity.logging.logger - INFO - Data Validation Completed
[2024-11-07 13:06:33,989] 30 networksecurity.logging.logger - INFO - Data Transformation Started
[2024-11-07 13:06:33,990] 66 networksecurity.logging.logger - INFO - Entered initiate_data_transformation method of Data Transformation class
[2024-11-07 13:06:33,990] 68 networksecurity.logging.logger - INFO - Starting data transformation
[2024-11-07 13:06:34,022] 51 networksecurity.logging.logger - INFO - Entered get_data_transformer_object of DataTransformation class
[2024-11-07 13:06:34,022] 54 networksecurity.logging.logger - INFO - Initialize KNN imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2024-11-07 13:06:34,039] 47 networksecurity.logging.logger - INFO - Entered the save_object method of MainUtils class
[2024-11-07 13:06:34,044] 51 networksecurity.logging.logger - INFO - Exited the save_object method of MainUtils class
[2024-11-07 13:06:34,046] 33 networksecurity.logging.logger - INFO - Data Transformation Completed
